Sr. No,Newspaper Name,Published Date,URL,Headline,Content,Human Summary,Category
1,The Hindu,2023-12-01,https://www.thehindu.com/news/national/sample-news-1,"""India Launches Chandrayaan-4 Successfully""","India successfully launched Chandrayaan-4, aiming to study the lunar surface and uncover its secrets.","India launched Chandrayaan-4 to study the moon’s surface, marking another milestone in space exploration.",Science and Technology
2,Hindustan Times,2022-08-15,https://www.hindustantimes.com/india/sample-news-2,"""PM Announces Digital India 2.0 on Independence Day""",The Prime Minister unveiled the Digital India 2.0 initiative to promote innovation and technology adoption.,"PM launched Digital India 2.0, focusing on technological growth and innovation in India.",National News
3,Indian Express,2021-04-10,https://www.indianexpress.com/news/sample-news-3,"""Economic Growth Rebounds in Q1 2021""","India’s GDP showed a rebound in the first quarter of 2021, signaling recovery from the pandemic-induced recession.","India's Q1 2021 GDP rebounded, indicating a recovery from the economic challenges of the pandemic.",Business and Finance
4,The Telegraph,2023-05-18,https://www.telegraphindia.com/nation/sample-news-4,"""Cyclone Yaas Causes Widespread Damage in Eastern India""","Cyclone Yaas wreaked havoc in Odisha and West Bengal, causing floods and massive displacement.","Cyclone Yaas caused severe damage in Eastern India, displacing thousands and disrupting daily life.",Environment
5,Deccan Chronicle,2020-10-05,https://www.deccanchronicle.com/nation/sample-news-5,"""Hyderabad Emerges as India’s Vaccine Hub""","Hyderabad became a central hub for COVID-19 vaccine manufacturing, supplying doses to various countries.",Hyderabad gained recognition as the COVID-19 vaccine manufacturing hub of India.,Health and Wellness
6,The Tribune,2023-02-22,https://www.tribuneindia.com/news/sample-news-6,"""India Wins Test Series Against Australia""","India clinched the Test series against Australia 3-1, showcasing stellar performances by young players.",India won the Test series against Australia with young players contributing immensely.,Sports
7,Business Standard,2021-11-30,https://www.business-standard.com/news/sample-news-7,"""Budget 2022 to Focus on Infrastructure Development""",The government announced a significant allocation for infrastructure projects in the upcoming budget.,The 2022 budget aims to enhance infrastructure through increased spending.,Politics
8,The Sentinel,2022-03-25,https://www.sentinelassam.com/news/sample-news-8,"""Assam Tribune Completes 80 Years of Journalism""","The Assam Tribune celebrated its 80th anniversary, highlighting its journey as a credible news source.",Assam Tribune marked 80 years of credible journalism in Northeast India.,Human Interest
9,The Statesman,2022-09-10,https://www.thestatesman.com/world/sample-news-9,"""Global Leaders Discuss Climate Crisis at COP27 Summit""",The COP27 summit saw global leaders deliberating on actionable steps to combat climate change.,"COP27 summit emphasized urgent action against climate change, with global leaders collaborating.",International News
10,The Economic Times,2023-07-12,https://www.economictimes.com/news/sample-news-10,"""India’s IT Sector Projects Robust Growth Amid Global Slowdown""","Despite global economic challenges, India’s IT industry continues to grow, driven by digital transformation and innovation.","India’s IT sector is thriving, with strong growth despite global economic challenges.",Technology and Gadgets
11,Hindu,21/01/2024,https://www.thehindu.com/news/top-news-of-the-day-january-21-2024-ayodhya-in-grip-of-religious-fervour-ahead-of-pran-pratishtha-aiims-delhi-reverses-decision-clinical-services-to-remain-open-on-january-22-and-more/article67762687.ece,"Ayodhya in grip of religious fervour ahead of ‘Pran Pratishtha’; AIIMS Delhi reverses decision, clinical services to remain open on January 22","Invitees to the “Pran Pratishtha” consecration ceremony at the Ram temple started arriving on January 21 in Ayodhya — once a sleepy town now resplendent with new infrastructure and gripped by heightened religious fervour on the eve of a seminal event in India’s political and religious history. A multi-layer security cover is in place in Ayodhya for the consecration ceremony at the Ram temple, with 10,000 CCTVs keeping an eye on the movement of people and police personnel in plain clothes deployed at the venue. From Dharampath and Rampath in Ayodhya, which are witnessing a huge influx of devotees, to bylanes of the Hanumangarhi area and Asharfi Bhavan road, policemen can be seen patrolling the streets.Critical clinical services will remain open on January 22 at Delhi’s All-India Institute of Medical Sciences (AIIMS), the premier hospital said on Sunday. The clarification was issued a day after a circular said that AIIMS would observe a half-day closure of its offices and institutions on January 22, in view of the consecration ceremony of the idol at Ayodhya’s Ram temple. The clarification came after a severe public backlash against the decision to close hospital services for a half day. Delhi’s Ram Manohar Lohia Hospital, which is also run by the Union government, had also announced a half day closure on January 22.","The consecration ceremony of the Ram temple in Ayodhya is taking place on January 22. Thousands of devotees are arriving in the town, which has been transformed with new infrastructure. A massive security operation is in place to ensure the safety of the event. The AIIMS hospital in Delhi initially announced a half-day closure for January 22 but later clarified that critical clinical services would remain open due to public backlash.",National News
12,The Hindu,09/12/2024,https://www.thehindu.com/news/national/sixth-edition-of-the-hindu-businessline-changemaker-awards-to-be-held-on-september-13/article68634599.ece,Sixth edition of The Hindu businessline Changemaker Awards to be held on September 13,"The sixth edition of The Hindu businessline Changemaker Awards, which celebrates individuals and organisations that have brought change in society, will be held in New Delhi on Friday (September 13, 2024).
Nirmala Sitharaman, Union Minister for Finance and Corporate Affairs, will give away the awards to the winners. The awards will be given across six categories: Social Transformation; Digital Transformation; Financial Transformation; Young Changemaker; Iconic Changemaker; and Changemaker of the Year. There is a new awards category this year called the Chairperson’s Award. This award is not part of the jury process that other awards have gone through and is given to an achiever in the field of education.

Over 950 nominations were received from the public and readers. They were evaluated by The Hindu businessline along with knowledge partners Deloitte and Ashoka. The shortlisted nominations were then independently validated by Niiti Consulting, the validation partner
The winners from among the validated nominees were chosen by an independent jury headed by R. Seshasayee, Chairman, Asian Paints. Other members of the jury were Lakshmi Narayanan, former Vice-Chairman, Cognizant; Suchitra Ella, co-founder and Managing Director, Bharat Biotech International; N.S. Nappinai, Senior Advocate, Supreme Court; Supriya Sahu, Additional Chief Secretary, Department of Health and Family Welfare, Government of Tamil Nadu; Poonam Natarajan, founder, Vidyasagar; and Jayen Mehta, Managing Director, GCMMF. The jury met in Chennai on August 13 to choose the winners.

The ceremony on Friday will feature a musical performance as well as a presentation prior to the awards event. At last year’s ceremony, the Reserve Bank of India received the Changemaker of the Year award while GCMMF (Amul) was named Iconic Changemaker of the Year.

The Hindu businessline Changemaker Awards are presented by SASTRA University as the presenting partner and powered by SBI (State Bank of India). The event is also supported by associate partners: LIC (Life Insurance Corporation of India), J&K Bank, NTPC (National Thermal Power Corporation), Union Bank of India, NMDC (National Mineral Development Corporation), ESSAR, Punjab & Sind Bank, Swelect Energy, and Indian Bank. Casagrand is the realty partner, while Fortinet is the cyber security partner. NDTV 24x7 is the TV partner. Anand Prakash is the gift partner. The event will be held at ITC Maurya, New Delhi. Entry is by invitation. The awards ceremony can be viewed live from 5.30 p.m. on thbl.news/BCLM2024LS","The sixth edition of The Hindu Businessline Changemaker Awards will be held in New Delhi on September 13, 2024, with Finance Minister Nirmala Sitharaman presenting awards across six categories, including a new Chairperson's Award for education. Over 950 nominations were evaluated by Deloitte, Ashoka, and Niiti Consulting, with an independent jury chaired by R. Seshasayee selecting the winners. Supported by SASTRA University and SBI, the event will feature a musical performance and live-streaming at 5:30 p.m. on thbl.news/BCLM2024LS. The ceremony takes place at ITC Maurya, New Delhi.",Opinion and Editorial
13,The Arunachal Front,02/01/2015,https://www.arunachaltimes.in/archives/jan15%2003.html,"Shooting stone hits army vehicle, six die","ITANAGAR, Jan 02: In a tragic incident, at least six army jawans of 11th Garhwal Regiment of Gajraj Corps were killed and two others injured when their convoy truck was reportedly plunged into deep gorge near Sessa in West Kameng yesterday. Sources from Bhalukpong informed this daily over the telephone that the incident occurred when the convoy was moving from Sessa base camp to Bhalukpong.  One of the convoy truck carrying eight jawans was hit by shooting stone, plunged into deep gorge after veered off the road, source added.  

The jawans who killed were identified as Rajendra Singh, Sandeep Singh, Arvind Singh, Bather Rajesh, Deep Chand, R. Ram Prasad and injured jawans were identified as Kuldeep Singh and Kundun, both were rushed to Army Hospital at Tezpur (Assam)","Six army jawans from the 11th Garhwal Regiment were killed, and two were injured when their convoy truck veered off the road and plunged into a gorge near Sessa in West Kameng. The truck, hit by a falling rock, was en route from Sessa to Bhalukpong. Injured jawans were hospitalized.",National News
14,The Hindu,31/10/2022,https://www.thehindu.com/news/national/other-states/morbi-gujarat-bridge-collapse-live-updates-october-30-2022/article66075016.ece,"Morbi bridge collapse live updates | PM Modi chairs high-level meeting to review situation, briefed on rescue operations","The Gujarat Police files First Information Report under IPC Sections 304 and 308 (culpable homicide not amounting to murder) in the bridge collapse tragedy.
About 141 people have died, while more than a 100 other have been admitted and are under treatment after a colonial-era cable bridge collapsed in Gujarat’s Morbi town on Sunday evening, plunging over 350 people into the river. Nine persons of the Oreva group, involved in the maintenance and management of the bridge, were arrested on October 31 in connection with the collapse of the cable suspension bridge on the Machchhu river. Police have registered an FIR on charges of culpable homicide against agencies given the task of maintenance and operation of the bridge in Morbi city which collapsed on Sunday evening.Several teams of NDRF and personnel of Navy and Air Force have been ordered to be airlifted to the site to help in the rescue efforts and comb the river bed as many people are feared drowned in the 10 feet deep water. Prime Minister Narendra Modi will on November 1 afternoon visit Gujarat’s Morbi, Gujarat Chief Minister’s Office announced. Earlier in the day, PM Modi, who is in Kevadia, stated that rescue opeations were under way and there would be no laxity in rescue and relief efforts.","The Gujarat Police filed an FIR under IPC Sections 304 and 308 for culpable homicide in the Morbi bridge collapse, which claimed 141 lives and injured over 100. Nine members of the Oreva group, responsible for the bridge's maintenance, were arrested. Rescue operations are ongoing, with NDRF, Navy, and Air Force teams deployed. PM Modi will visit the site on November 1 to oversee relief efforts and ensure no laxity in rescue operations.",National News
15,The Mint,01/10/2022,https://www.livemint.com/market/stock-market-news/bonus-shares-in-october-2022-these-5-shares-to-trade-ex-bonus-this-month-11664605447304.html,Bonus shares in October 2022: These 5 shares to trade ex-bonus this month,"Bonus shares in October 2022: After the arrival of October month, we have finished half of the financial year 2022-23 and now we have ushered into the Q3FY23. However, this month would be the beginning of result seasons as well because after the end of Q2FY23, listed companies are expected to make its quarterly numbers public. So, stock investors are expected to remain vigilant about the company results as good results lead to announcement of dividend, bonus shares, etc. However, some companies have already announced reward for their long term investors from their reserves.

Here we list out 5 companies that are going to issue bonus shares this month:1] Jonjua Overseas: BSE listed small-cap stock has fixed 3rd October 2022 as record date for bonus share issue and the stock will trade ex-bonus on the same date i.e. 3rd October 2022. The BSE listed company with a market cap of ₹6 crore has already announced bonus shares in 4:23 ratio that means 4 bonus share for each 23 stocks held by its shareholders.

2] Yug Decor: As per the information available on BSE website, the BSE listed small-cap stock is going to trade ex-bonus on 3rd October 2022. The company has revised its record date to 3rd October 2022. As per the information available on BSE website, ""Company has revised the 'Record Date' i.e., Monday, October 3, 2022 (instead of Friday, September 30, 2022) to determine eligible shareholders entitled to receive Bonus shares as approved in the 19th Annual General Meeting (AGM) of the Company held on September 20, 2022."" The company has declared bonus shares in the ratio of 1:2 i.e. one bonus shares for each two stocks held by its shareholders.

3] Asian Hotels (East): The small-cap stock with a market cap of ₹397 crore is going to trade ex-bonus on 6th October 2022. The board of directors of the company has fixed 7th October 2022 as record date for issuance of bonus shares in the ratio of 1:2.
As per the information available on BSE website, ""The Board of Directors of the Company at its meeting of even date has inter-alia, fixed the Record Date as Friday, 7th October, 2022 for determining the names of the equity shareholders of the Company who shall be entitled to be allotted: a) bonus equity shares of the Company in the ratio 1:2 i.e. one fully paid up bonus equity share for every two equity shares held in the Company (as of the Record Date).""

4] Ruchira Papers: Small-cap stock is going to trade ex-bonus on 7th October 2022 as board of directors of the company has fixed 10th October 2022 as record date for issuance of bonus shares. The paper company has already declared bonus shares in the ratio of 1:10 that means one bonus share for every 10 shares held by the shareholders.
5] Kaarya Facilities and Services: The company has fixed Wednesday, October 12, 2022 as the record date for the purpose of ascertaining the eligibility of shareholders for issuance of bonus shares in the ratio of 1:1 i.e. 1 (One) bonus equity shares of ₹10.00 each fully paid-up for every 1 (One) existing equity shares of INR 10.00 each fully paid-up (i.e. in the ration of 1:1) held by shareholders.","In October 2022, five companies will issue bonus shares: Jonjua Overseas (4:23 ratio, ex-bonus on October 3), Yug Decor (1:2 ratio, ex-bonus on October 3), Asian Hotels (East) (1:2 ratio, ex-bonus on October 6), Ruchira Papers (1:10 ratio, ex-bonus on October 7), and Kaarya Facilities (1:1 ratio, ex-bonus on October 12).",Business and Finance
16,The Asian Age,16/08/2024,https://www.asianage.com/india/all-india/cbi-calls-5-doctors-for-grilling-3-face-questions-1816773,European shares kick off final quarter of 2022 on weak note,"The CBI summoned five doctors and some junior doctors of the RG Kar Medical College and Hospital (RGKMCH) for questioning in the case of rape and murder of an on-duty doctor early on August 9. Of these, three were grilled on Thursday. A CBI team went to Sodepur area in North 24 Parganas and spoke to the family members of the victim. According to sources, the central agency has prepared a list of persons to be questioned in the coming days, including former principal Dr Sandip Ghosh who was accused by the junior doctors of trying to shelter the accused.

Those questioned on Thursday were former medical superintendent-cum-vice principal Dr Sanjay Vashisth, head of the pulmonary medicine department Dr Arunabha Dutta Choudhury and a professor of forensic medicine department. They appeared at the CBI office in CGO Complex of Salt Lake after getting the summons. They were allowed to go after their statements were recorded. Similarly, the junior doctors also faced questions of the investigators. All of them were allowed to go later. The CBI also questioned a cop during the day in the same case: Abhijit Mondal, officer-in-charge of the Tala police station which covers the RGKMCH. Mondal handed over some documents to the CBI.

","The CBI summoned five doctors and junior doctors from RG Kar Medical College in connection with the rape and murder of an on-duty doctor on August 9. Three doctors, including former medical superintendent Dr. Sanjay Vashisth, were questioned, and further questioning is planned. The CBI also questioned a local police officer involved in the case.",Crime and Justice
17,The Arunachal Front,03/10/2023,https://arunachaltimes.in/index.php/2023/10/03/govt-to-set-up-intelligence-gathering-posts-along-india-china-frontier/,Govt to set up intelligence gathering posts along India-China frontier,"Border posts of the Indo-Tibetan Border Police (ITBP) along the India-China frontier from Ladakh to Arunachal Pradesh will have an additional team of intelligence officers for surveillance and information-gathering.

A highly placed source said that the central government has approved a proposal for establishing the setup that will be known as the Border Intelligence Post (BIP).


The move bears significance in view of the increased Chinese activities along the border and transgressions by China’s People’s Liberation Army (PLA).

A stand-off between the Indian Army and the PLA in Ladakh has been going on since June 2020.

Each of the BIPs will be manned by four-five officials of the Intelligence Bureau and protected by ITBP personnel, the source in the know of the development said on the condition of anonymity.

The personnel who will be deployed at the BIPs will keep an eye on activities across the border and share updates with the higher authorities and the government.

The source, however, refused to disclose the amount sanctioned by the central government for the project, citing its sensitive nature.

Mago is the first village close to the border with China in the Chuna sector in Arunachal’s Tawang district.

An all-terrain motorable road was built in the village only in 2020.

There are around 180 border outposts of the ITBP along the entire India-China border, and the establishment of 45 more was sanctioned recently.


Twenty Army soldiers were killed in a clash with the PLA in June 2020 in Ladakh’s Galwan valley.

On 9 December last year, PLA troops intruded in Yangste in Arunachal, which led to a clash between the soldiers of the neighbouring countries and resulted in injuries to both sides.

Since the India-China border is not fully demarcated, both sides have different perceptions of the line of actual control (LAC). There have been reports of PLA troops often transgressing the disputed areas.

Speaking at a function here on Monday, union minister Kiren Rijiju said that a country is safe when its borders are safe.

“Under Prime Minister Narendra Modi’s leadership, not a single village is left where vehicles can’t reach. These border villages were neglected earlier. I also assure you that in the next six months, all border villages in Arunachal Pradesh will have 5G mobile phone connectivity,” said Rijiju, who represents the Arunachal West constituency in the Lok Sabha.

In the last few years, the central government has not only ramped up its infrastructure at the LAC but also introduced schemes for the development of border villages.

Among these is the Vibrant Villages Programme (VVP), under which all-round development of select frontier villages is carried out.


“The highest number of villages among all states will be developed in Arunachal Pradesh under the VVP. Out of the 665 villages selected under the VVP, 453 are in Arunachal in first phase,” Chief Minister Pema Khandu said at the function. (PTI)","
The Indian government has approved a Border Intelligence Post (BIP) setup along the India-China border, from Ladakh to Arunachal Pradesh, to enhance surveillance due to increased Chinese activity. Each BIP will include Intelligence Bureau officers and be guarded by the Indo-Tibetan Border Police (ITBP). This comes amid ongoing tensions with China since the 2020 Ladakh standoff. Union Minister Kiren Rijiju also highlighted infrastructure improvements, including the Vibrant Villages Programme (VVP) and upcoming 5G mobile connectivity for border villages in Arunachal Pradesh.",National News
18,The Arunachal Front,08/10/2023,https://arunachaltimes.in/index.php/2023/10/08/man-sentenced-to-20-yrs-in-jail-and-life-imprisonment-for-sexually-assaulting-minor/,Man sentenced to 20 yrs in jail and life imprisonment for sexually assaulting minor,"The special POCSO court here in East Siang district has sentenced one Kalen Apang (33) to 20 years of imprisonment, plus life imprisonment, for sexually assaulting and impregnating his minor stepdaughter twice.

The accused was found guilty of committing the offence of penetrative sexual assault on his stepdaughter, and has been sentenced under the Protection of Children from Sexual Offences Act (POCSO) and the Indian Penal Code (IPC).

Earlier, on 23 March, 2022, the Jenging police station received a written complaint from the district child protection unit to the effect that Apang, who had sexually assaulted his minor stepdaughter in 2019 and was out on bail, reportedly committed the same offence on his stepdaughter, who was about 13 years old.

Following this, a case [u/s 376 (2) (F) (n) IPC r/w 6/16 of POCSO Act] was registered.

The child had been staying with Apang since she was about 11 years old, after her mother, who works at a tea garden in Ramsing, married Apang. He started sexually abusing the child immediately after the marriage and ultimately impregnated her.

The incident came to light when the child’s aunt found out that she was pregnant and brought her to Yingkiong for medical examination. Subsequently, an FIR was lodged against the convict and he was arrested and later enlarged on bail.

But after his release from jail, Apang returned, stayed with the child and her mother, committed sexual assault on the minor, and impregnated her again.

While sentencing, the special judge said, “The convict has shown no remorse for his action and he has utter disregard for law and order, and, despite being enlarged on bail, committed the same offence twice.”

The special judge therefore pronounced a double sentence of 20 years’ imprisonment for the first offence, and life imprisonment for the subsequent offence. (DIPRO)","Kalen Apang, 33, from East Siang district, India, was sentenced to 20 years and life imprisonment for sexually assaulting and impregnating his minor stepdaughter twice. He was found guilty under POCSO and IPC. The incident came to light when the child's aunt discovered her pregnancy. Despite being released on bail, Apang continued to abuse the child. The judge sentenced him to a double sentence due to his lack of remorse.",Crime and Justice
